Knys0,SAWS,Knys0/ SAWS,1972-01-01,22.919,,KNYSNA,,
Knys0,SAWS,Knys0/ SAWS,1972-02-01,21.017,,,JUL,19.84
Knys0,SAWS,Knys0/ SAWS,1972-03-01,17.823,,,AUG,17.48
Knys0,SAWS,Knys0/ SAWS,1972-04-01,18.65,,,SEPT,16.80
Knys0,SAWS,Knys0/ SAWS,1972-05-01,16.532,,,OCT,14.01
Knys0,SAWS,Knys0/ SAWS,1972-06-01,15.828,,,NOV,14.84
Knys0,SAWS,Knys0/ SAWS,1972-07-01,14.533,,,DEC,13.91
Knys0,SAWS,Knys0/ SAWS,1972-08-01,14.383,,,JAN,14.54
Knys0,SAWS,Knys0/ SAWS,1972-09-01,14.793,,,FEB,15.47
Knys0,SAWS,Knys0/ SAWS,1972-10-01,16.661,,,MAR,16.23
Knys0,SAWS,Knys0/ SAWS,1972-11-01,15.1,,,APRIL,17.82
Knys0,SAWS,Knys0/ SAWS,1972-12-01,18.29,,,MAY,18.22
Knys0,SAWS,Knys0/ SAWS,1973-01-01,16.484,,,JUN,20.34
Knys0,SAWS,Knys0/ SAWS,1973-02-01,15.54,,,,
Knys0,SAWS,Knys0/ SAWS,1973-03-01,18.484,,,,
Knys0,SAWS,Knys0/ SAWS,1973-04-01,13.685,,,,
Knys0,SAWS,Knys0/ SAWS,1973-05-01,14.833,,,,
Knys0,SAWS,Knys0/ SAWS,1973-06-01,15.8,,,,
Knys0,SAWS,Knys0/ SAWS,1973-07-01,14.694,,,,
Knys0,SAWS,Knys0/ SAWS,1973-08-01,13.823,,,,
Knys0,SAWS,Knys0/ SAWS,1973-09-01,14.467,,,,
Knys0,SAWS,Knys0/ SAWS,1973-10-01,15.452,,,,
Knys0,SAWS,Knys0/ SAWS,1973-11-01,16.75,,,,
Knys0,SAWS,Knys0/ SAWS,1973-12-01,18.021,,,,
Knys0,SAWS,Knys0/ SAWS,1974-01-01,19.667,,,,
Knys0,SAWS,Knys0/ SAWS,1974-02-01,19.589,,,,
Knys0,SAWS,Knys0/ SAWS,1974-03-01,15.484,,,,
Knys0,SAWS,Knys0/ SAWS,1974-04-01,14.283,,,,
Knys0,SAWS,Knys0/ SAWS,1974-05-01,14.597,,,,
Knys0,SAWS,Knys0/ SAWS,1974-06-01,13.467,,,,
Knys0,SAWS,Knys0/ SAWS,1974-07-01,14.435,,,,
Knys0,SAWS,Knys0/ SAWS,1974-08-01,15.21,,,,
Knys0,SAWS,Knys0/ SAWS,1974-09-01,15.583,,,,
Knys0,SAWS,Knys0/ SAWS,1974-10-01,17.694,,,,
Knys0,SAWS,Knys0/ SAWS,1974-11-01,18.967,,,,
Knys0,SAWS,Knys0/ SAWS,1974-12-01,20.371,,,,
Knys0,SAWS,Knys0/ SAWS,1975-01-01,20.968,,,,
Knys0,SAWS,Knys0/ SAWS,1975-02-01,17.405,,,,
Knys0,SAWS,Knys0/ SAWS,1975-03-01,18.403,,,,
Knys0,SAWS,Knys0/ SAWS,1975-04-01,18.1,,,,
Knys0,SAWS,Knys0/ SAWS,1975-05-01,16.5,,,,
Knys0,SAWS,Knys0/ SAWS,1975-06-01,16.117,,,,
Knys0,SAWS,Knys0/ SAWS,1975-07-01,14.903,,,,
Knys0,SAWS,Knys0/ SAWS,1975-08-01,14.855,,,,
Knys0,SAWS,Knys0/ SAWS,1975-09-01,15.833,,,,
Knys0,SAWS,Knys0/ SAWS,1975-10-01,16.438,,,,
Knys0,SAWS,Knys0/ SAWS,1975-11-01,18.45,,,,
Knys0,SAWS,Knys0/ SAWS,1975-12-01,18.396,,,,
Knys0,SAWS,Knys0/ SAWS,1976-01-01,19.548,,,,
Knys0,SAWS,Knys0/ SAWS,1976-02-01,18.933,,,,
Knys0,SAWS,Knys0/ SAWS,1976-03-01,19.984,,,,
Knys0,SAWS,Knys0/ SAWS,1976-04-01,18.656,,,,
Knys0,SAWS,Knys0/ SAWS,1976-05-01,16.984,,,,
Knys0,SAWS,Knys0/ SAWS,1976-06-01,14.067,,,,
Knys0,SAWS,Knys0/ SAWS,1976-07-01,14.113,,,,
Knys0,SAWS,Knys0/ SAWS,1976-08-01,15.042,,,,
Knys0,SAWS,Knys0/ SAWS,1976-09-01,15.739,,,,
